,chain,voter,contribution_s,stability_s,popularity_s,commission_s,period_s
0,akash,0base.vc,86.48252772546557,70.2005075191617,40.816753635552665,26.12991394828773,100.0
1,akash,16psyche,69.38166980539863,81.07836414352299,39.6680901297576,67.63850445910816,100.0
2,akash,5.0validator,49.48373270991623,75.56978990769409,43.27300879655362,67.63850445910816,32.840070298769774
3,akash,activenodes,83.44842017158402,80.42563576360735,47.07920249014882,39.17464000011917,100.0
4,akash,agenetwork,40.73446327683616,81.40093429082056,43.38115793388977,35.92474709131528,100.0
5,akash,allnodes,39.696699375557536,82.92649978049732,59.745663882689485,67.63850445910816,40.40861159929701
6,akash,alter,39.1371340523883,77.99266551992088,26.761834464701312,26.12991394828773,49.021089630931456
7,akash,armyids,82.24374495560937,78.70195834058529,38.519920648920014,35.92474709131528,100.0
8,akash,atomstaking,36.10683102208526,75.4943220250439,22.732094489587706,67.63850445910816,19.18189806678383
9,akash,autostake,78.89664340312396,80.44907732763346,57.87054799401778,67.63850445910816,75.902460456942
10,akash,bi23,74.83702737940027,78.20414683097808,34.3942823126696,26.12991394828773,100.0
11,akash,bitcat,57.73576705780096,67.66955524724463,35.83696175682592,67.63850445910816,100.0
12,akash,bitoven,81.01459510357815,69.89572418005707,36.80472279480026,67.63850445910816,100.0
13,akash,blissdynamics,70.24482109227873,76.4280597438564,47.04474725267318,67.63850445910816,78.33831282952548
14,akash,blockpane,39.70210580380072,76.6401292181916,34.30524482277992,67.63850445910816,36.14586994727592
15,akash,boxedcloud.net,0.0,63.92240211866274,32.46548509383801,67.63850445910816,27.09841827768014
16,akash,bridgetower,57.88942695722356,74.73031726008519,44.694799719198905,26.12991394828773,71.63971880492092
17,akash,c29r3,64.13236481033091,80.51581030277404,34.98100413731448,26.12991394828773,100.0
18,akash,chainflow,41.75878162613608,74.69310653406377,30.39890730965128,26.12991394828773,100.0
19,akash,chainlayer,74.58804143126176,76.35085187377116,42.242096422485226,26.12991394828773,100.0
20,akash,chainodetech,57.49954437761984,79.17427429653469,51.89235333513638,67.63850445910816,100.0
21,akash,chainvibes,82.78435134847032,77.32386099922901,32.24459530613497,67.63850445910816,100.0
22,akash,chandrastation,67.44893524554541,83.01910506509472,68.41421957763083,67.63850445910816,100.0
23,akash,chorusone,63.759129116714895,68.16921159893624,36.79531026015479,40.83481914376797,67.28998242530756
24,akash,citadel.one,63.02003081664099,81.3786980529898,64.23300147941619,67.63850445910816,84.86291739894551
25,akash,cloudmos,65.08731381612736,81.56924484763746,58.38895063402209,67.63850445910816,65.37609841827768
26,akash,coaction,25.649717514124298,71.60094875592476,21.597806137481182,67.63850445910816,16.224077328646747
27,akash,coinpayu,50.068186245860126,65.28962586282262,32.91710109544006,67.63850445910816,28.31634446397188
28,akash,consensusone,25.04708097928437,72.68155174124023,30.580349808116917,67.63850445910816,59.80843585237258
29,akash,cosmicvalidator,70.80979284369114,77.648339893642,49.4093618032345,67.63850445910816,100.0
30,akash,cosmonautstakesakt,39.0637610976594,70.36023475461047,24.92658111919999,67.63850445910816,15.52811950790861
31,akash,cosmostation,81.13622096672944,82.93667205455726,65.01989242585545,67.63850445910816,100.0
32,akash,cryptoandcoffee,0.0,75.75656663176045,22.714333445952317,67.63850445910816,2.6528998242530757
33,akash,cryptolabtech,38.20621468926554,71.3687328593797,25.99741410631826,67.63850445910816,11.091388400702986
34,akash,cyphercore,66.76082862523542,72.91940831744222,35.10047053632358,26.12991394828773,100.0
35,akash,dacm,59.22462497564776,80.09191328631337,42.37046394337462,67.63850445910816,100.0
36,akash,decentralizehk,60.91287540886113,75.13224215331421,42.70188077044269,67.63850445910816,80.07820738137083
37,akash,decloudnodeslab,51.510685335298454,79.31144597717902,33.24804321713078,67.63850445910816,27.35940246045694
38,akash,dorafactorypgs,34.067796610169495,78.95252968094432,17.22464709534501,0.0,9.438488576449913
39,akash,dorminik,41.33709981167608,72.30916934244812,30.378836690410505,36.11176992089198,100.0
40,akash,easy2stake,57.316384180790955,78.20394574570565,41.72472616162926,67.63850445910816,100.0
41,akash,ecostake,78.16211230254814,81.45809478032821,57.555011113176555,67.63850445910816,73.46660808435853
42,akash,europlots,42.00968523002421,78.63777417981325,22.851241490641748,67.63850445910816,25.445518453427066
43,akash,forbole,76.84792843691147,84.15921010168528,76.80349480470579,67.63850445910816,100.0
44,akash,galaxydigital,0.0,75.00740357444901,46.77096082165843,26.12991394828773,48.49912126537785
45,akash,gatadao,24.75603492552645,74.59525355659336,32.3217507751696,67.63850445910816,7.437609841827768
46,akash,hashquark,43.54990583804143,76.31061303509176,38.72698928025515,67.63850445910816,82.68804920913884
47,akash,huobi,49.968612680477094,77.83460984966266,48.16947860282691,26.12991394828773,100.0
